
> financial-wallet-frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.56.1:3000
- Environments: .env.local

✓ Starting...
Creating turbopack project { dir: 'D:\\HK6 UIT\\DA1\\financial-wallet-frontend', testMode: true }
✓ Ready in 1191ms
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 1999µs, render: 58ms)
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 1919µs, render: 58ms)
 GET /login 200 in 64ms (compile: 3ms, proxy.ts: 1974µs, render: 59ms)
 GET /login 200 in 60ms (compile: 3ms, proxy.ts: 2ms, render: 54ms)
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 1899µs, render: 58ms)
 GET /login 200 in 76ms (compile: 3ms, proxy.ts: 2ms, render: 71ms)
 GET /login 200 in 61ms (compile: 3ms, proxy.ts: 1991µs, render: 56ms)
 GET /login 200 in 70ms (compile: 3ms, proxy.ts: 2ms, render: 65ms)
 GET /login 200 in 58ms (compile: 2ms, proxy.ts: 1902µs, render: 54ms)
 GET /login 200 in 54ms (compile: 3ms, proxy.ts: 1851µs, render: 49ms)
 GET /login 200 in 37ms (compile: 2ms, proxy.ts: 1778µs, render: 33ms)
 GET /login 200 in 19ms (compile: 4ms, proxy.ts: 1739µs, render: 14ms)
 GET /login 200 in 54ms (compile: 2ms, proxy.ts: 1701µs, render: 51ms)
 GET /login 200 in 59ms (compile: 2ms, proxy.ts: 2ms, render: 54ms)
 GET /login 200 in 62ms (compile: 2ms, proxy.ts: 1938µs, render: 58ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 2ms, render: 56ms)
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 2ms, render: 58ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 2ms, render: 57ms)
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 2ms, render: 58ms)
 GET /login 200 in 60ms (compile: 3ms, proxy.ts: 2ms, render: 55ms)
 GET /login 200 in 61ms (compile: 4ms, proxy.ts: 1919µs, render: 56ms)
 GET /login 200 in 77ms (compile: 4ms, proxy.ts: 3ms, render: 70ms)
 GET /login 200 in 76ms (compile: 3ms, proxy.ts: 1759µs, render: 71ms)
 GET /login 200 in 76ms (compile: 3ms, proxy.ts: 2ms, render: 71ms)
 GET /login 200 in 65ms (compile: 2ms, proxy.ts: 1905µs, render: 61ms)
 GET /login 200 in 65ms (compile: 2ms, proxy.ts: 2ms, render: 60ms)
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 1964µs, render: 59ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 2ms, render: 54ms)
 GET /login 200 in 76ms (compile: 3ms, proxy.ts: 1887µs, render: 71ms)
 GET /login 200 in 76ms (compile: 4ms, proxy.ts: 2ms, render: 70ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 1807µs, render: 58ms)
 GET /login 200 in 63ms (compile: 2ms, proxy.ts: 1969µs, render: 59ms)
 GET /login 200 in 66ms (compile: 2ms, proxy.ts: 3ms, render: 61ms)
 GET /login 200 in 66ms (compile: 4ms, proxy.ts: 3ms, render: 60ms)
 GET /login 200 in 65ms (compile: 3ms, proxy.ts: 2ms, render: 59ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 1994µs, render: 57ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 3ms, render: 56ms)
 GET /login 200 in 43ms (compile: 3ms, proxy.ts: 1907µs, render: 38ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 2ms, render: 20ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 3ms, render: 21ms)
 GET /login 200 in 39ms (compile: 4ms, proxy.ts: 3ms, render: 32ms)
 GET /login 200 in 90ms (compile: 5ms, proxy.ts: 4ms, render: 80ms)
 GET /login 200 in 76ms (compile: 4ms, proxy.ts: 3ms, render: 69ms)
 GET /login 200 in 69ms (compile: 3ms, proxy.ts: 2ms, render: 64ms)
 GET /login 200 in 72ms (compile: 6ms, proxy.ts: 2ms, render: 64ms)
 GET /login 200 in 68ms (compile: 3ms, proxy.ts: 3ms, render: 62ms)
 GET /login 200 in 65ms (compile: 4ms, proxy.ts: 3ms, render: 59ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 2ms, render: 53ms)
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 2ms, render: 57ms)
 GET /login 200 in 64ms (compile: 3ms, proxy.ts: 1822µs, render: 59ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 2ms, render: 59ms)
